time,flux
0,1.000993
1,0.999723
2,1.001295
3,1.003046
4,0.999532
5,0.999532
6,1.003158
7,1.001535
8,0.999061
9,1.001085
10,0.999073
11,0.999069
12,1.000484
13,0.996173
14,0.99655
15,0.998875
16,0.997974
17,1.000628
18,0.998184
19,0.997175
20,1.002931
21,0.999548
22,1.000135
23,0.997151
24,0.998911
25,1.000222
26,0.997698
27,1.000751
28,0.998799
29,0.999417
30,0.998797
31,1.003705
32,0.999973
33,0.997885
34,1.001645
35,0.997558
36,1.000418
37,0.996081
38,0.997344
39,1.000394
40,1.001477
41,1.000343
42,0.999769
43,0.999398
44,0.997043
45,0.99856
46,0.999079
47,1.002114
48,1.000687
49,0.996474
50,1.000648
51,0.99923
52,0.998646
53,1.001223
54,1.002062
55,1.001863
56,0.998322
57,0.996747
58,0.991466
59,0.982481
60,0.974042
61,0.980159
62,0.98859
63,0.994973
64,1.001625
65,1.002712
66,0.999856
67,1.002007
68,1.000723
69,0.99871
70,1.000723
71,1.003076
72,0.999928
73,1.003129
74,0.994761
75,1.001644
76,1.000174
77,0.999402
78,1.000184
79,0.996025
80,0.999561
81,1.000714
82,1.002956
83,0.998963
84,0.998383
85,0.998996
86,1.001831
87,1.000658
88,0.99894
89,1.001027
90,1.000194
91,1.001937
92,0.998596
93,0.999345
94,0.999216
95,0.997073
96,1.000592
97,1.000522
98,1.00001
99,0.999531
100,0.997169
101,0.999159
102,0.999315
103,0.998395
104,0.999677
105,1.000808
106,1.003772
107,1.000349
108,1.000515
109,0.999851
110,0.996162
111,0.999947
112,1.00012
113,1.004926
114,0.999615
115,1.000603
116,0.999931
117,0.997663
118,1.002286
119,1.001504
120,1.001582
121,0.998181
122,1.002806
123,0.997196
124,1.001174
125,1.004381
126,0.998019
127,0.998867
128,1.000199
129,0.998993
130,0.996899
131,1.000137
132,0.997875
133,1.000947
134,0.998161
135,1.0031
136,0.998433
137,0.999356
138,1.001627
139,0.997538
140,1.000455
141,1.002614
142,0.996785
143,1.000369
144,1.00052
145,1.001564
146,0.997526
147,0.994724
148,0.991847
149,0.981124
150,0.975501
151,0.981223
152,0.989443
153,0.99783
154,1.000586
155,0.998571
156,1.003732
157,1.000948
158,0.997617
159,1.001313
160,0.998051
161,1.001574
162,1.002317
163,0.998359
164,1.001927
165,1.000826
166,1.001644
167,1.003794
168,0.999509
169,0.998493
170,0.998221
171,0.998368
172,0.999846
173,1.000682
174,1.000553
175,1.001654
176,1.000026
177,1.002907
178,0.999471
179,1.00544
180,1.001251
181,0.998286
182,0.997858
183,1.000965
184,0.999553
185,1.001428
186,1.000946
187,0.999854
188,0.998306
189,0.99697
190,0.999107
191,1.001713
192,1.000428
193,0.997509
194,1.000346
195,1.000771
196,0.998232
197,1.000307
198,1.000116
199,0.997714
200,1.000716
201,1.001122
202,1.002166
203,1.002108
204,0.997245
205,0.998124
206,1.00103
207,1.001028
208,1.00103
209,1.007705
210,1.001142
211,1.002271
212,1.001908
213,1.001303
214,0.999369
215,1.001518
216,0.998454
217,0.999526
218,0.999029
219,1.000164
220,1.004629
221,0.996265
222,1.001373
223,0.996775
224,0.999056
225,1.002178
226,1.000129
227,0.997845
228,0.998569
229,1.001359
230,0.998539
231,1.000433
232,1.000091
233,0.998697
234,1.004288
235,1.001268
236,0.99595
237,0.997738
238,0.989479
239,0.982235
240,0.973415
241,0.980301
242,0.991813
243,0.999097
244,0.997599
245,0.999331
246,0.99905
247,0.998693
248,1.003531
249,1.00081
250,0.997478
251,1.001836
252,1.004244
253,1.002065
254,0.996961
255,0.999032
256,1.002534
257,0.998585
258,1.000888
259,1.001549
260,0.998146
261,0.999881
262,0.993517
263,0.997951
264,0.999495
265,0.997504
266,1.003265
267,0.99714
268,0.99912
269,1.000261
270,1.002883
271,0.997128
272,1.002326
273,1.00002
274,0.998037
275,1.000924
276,1.000398
277,0.9988
278,1.00014
279,0.999229
280,1.000227
281,1.001324
282,1.003172
283,0.997524
284,1.004266
285,0.996096
286,0.999696
287,1.001177
288,1.000562
289,0.998755
290,0.999584
291,0.999014
292,0.998821
293,1.001699
294,1.000714
295,0.998614
296,1.001799
297,1.000615
298,1.001626
299,1.001259
